Mes;Categoria;Voltaje;Grupo_consumo;Tipo_consumo;Tarifa;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC
Feb;General;Baja;Otros;Público;BTCGCD21 (BT / Bombeo de Agua Comunidades Campesinas);0;0,00;0,00;13;26,71;1.077,46;9;11,15;452,10;0;0,00;0,00;10;9,52;387,96;1;2,02;81,62;10;4,97;205,76;8;30,59;1.235,62;0;0,00;0,00;15;19,39;785,90;53;36,89;1.512,74
Feb;General;Baja;Otros;Público;BTCGCD06 (BT / Bombeo de Agua con Demanda);0;0,00;0,00;0;0,00;0,00;12;17,75;1.547,02;9;58,17;5.156,19;52;111,41;10.083,93;0;0,00;0,00;0;0,00;0,00;4;25,57;2.049,81;0;0,00;0,00;1;7,15;564,11;24;14,67;1.490,85
Feb;General;Baja;Otros;Público;BTCGCD34 (BT / Bombeo de Agua con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;17;51,25;4.382,05
Feb;General;Baja;Otros;Público;BTCGSD14 (BT / Bombeo de Agua para Servicio Público de Agua);0;0,00;0,00;16;16,46;1.081,74;0;0,00;0,00;29;25,93;1.697,86;0;0,00;0,00;12;30,55;2.014,16;0;0,00;0,00;0;0,00;0,00;25;38,58;2.540,78;12;7,47;490,62;0;0,00;0,00
Feb;General;Baja;Otros;Público;BTCGCD40 (BT / Bombeo de Agua para Servicio Público de Agua con Demanda Horaria);0;0,00;0,00;5;5,58;348,43;0;0,00;0,00;13;78,45;5.126,11;1;60,60;3.794,13;0;0,00;0,00;1;4,10;375,96;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;80;805,64;51.045,55
Feb;General;Baja;Comercial;Público;BTCGSD01 (BT / Comercial);0;0,00;0,00;41;5,16;559,72;235;123,29;12.548,86;59;54,47;5.707,56;12;2,99;304,01;10;4,80;485,32;24;11,49;1.170,85;56;13,45;1.395,94;4;0,71;74,63;71;20,34;2.092,49;5;1,45;147,46
Feb;General;Baja;Comercial;Público;BTCGCD01 (BT / Comercial con Demanda);0;0,00;0,00;0;0,00;0,00;2;0,44;104,60;5;26,16;3.081,78;6;16,75;2.208,47;1;2,10;261,65;0;0,00;0,00;1;0,00;1,41;0;0,00;0,00;0;0,00;0,00;3;7,35;795,35
Feb;General;Baja;Comercial;Público;BTCGCD31 (BT / Comercial con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;2;5,52;540,20
Feb;General;Baja;Otros;Público;BTCGSD09 (BT / Culto Religioso);0;0,00;0,00;0;0,00;0,00;4;0,09;8,56;0;0,00;0,00;0;0,00;0,00;1;0,52;26,07;1;0,07;3,79;0;0,00;0,00;2;0,29;13,23;0;0,00;0,00;7;0,22;17,48
Feb;General;Baja;Otros;Público;BTCGCD32 (BT / Culto Religioso con Demanda);1;0,74;59,72;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
