Mes;Categoria;Voltaje;Grupo_consumo;Tipo_consumo;Tarifa;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC
Ago;General;Baja;Comercial;Público;BTCGSD01 (BT / Comercial);0;0,00;0,00;15;4,67;481,82;237;142,23;14.487,37;58;48,83;5.095,47;11;2,60;265,60;10;5,69;577,10;23;15,00;1.531,38;55;17,07;1.764,78;1;0,57;56,92;74;21,56;2.215,11;8;2,11;216,78
Ago;General;Baja;Comercial;Público;BTCGCD01 (BT / Comercial con Demanda);0;0,00;0,00;0;0,00;0,00;2;0,49;108,83;5;29,92;3.362,06;7;36,48;4.121,78;1;8,34;366,66;0;0,00;0,00;1;0,00;1,41;0;0,00;0,00;0;0,00;0,00;3;7,67;823,88
Ago;General;Baja;Comercial;Público;BTCGCD31 (BT / Comercial con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;3;7,30;700,56
Ago;General;Baja;Otros;Público;BTCGSD09 (BT / Culto Religioso);0;0,00;0,00;0;0,00;0,00;4;0,04;7,14;0;0,00;0,00;0;0,00;0,00;1;0,48;23,24;2;0,76;35,02;0;0,00;0,00;2;0,29;13,09;1;0,00;1,41;7;0,20;16,61
Ago;General;Baja;Otros;Público;BTCGCD32 (BT / Culto Religioso con Demanda);1;0,75;60,26;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ago;General;Baja;Otros;Público;BTCGSD05 (BT / Entidades Oficiales);345;94,26;8.938,45;986;573,60;52.816,91;414;222,42;20.552,59;1.371;1.016,03;95.508,73;642;511,78;47.403,70;284;211,02;19.405,69;559;419,09;38.542,19;348;285,37;26.517,13;605;697,85;64.451,64;685;532,28;48.973,65;293;148,24;13.649,92
Ago;General;Baja;Otros;Público;BTCGCD07 (BT / Entidades Oficiales con Demanda);11;40,77;4.595,55;0;0,00;0,00;23;64,96;6.415,39;303;903,26;88.142,08;77;237,81;24.447,70;26;75,52;7.971,20;72;199,66;20.493,13;57;241,30;24.386,06;10;21,88;2.135,00;4;11,30;1.064,49;30;29,31;3.159,20
Ago;General;Baja;Otros;Público;BTCGCD35 (BT / Entidades Oficiales con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;2;3,23;346,98;0;0,00;0,00;0;0,00;0,00;8;82,37;7.637,58;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;215;924,58;88.559,19
Ago;General;Baja;Otros;Público;BTCGCD08 (BT / Escenarios Deportivos con Demanda);1;2,19;243,25;0;0,00;0,00;6;1,54;233,72;0;0,00;0,00;0;0,00;0,00;1;0,00;6,20;0;0,00;0,00;0;0,00;0,00;1;0,04;100,41;0;0,00;0,00;13;6,25;730,87
Ago;General;Baja;Industrial;Público;BTCGSD02 (BT / Industrial Artesanal);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;0,37;29,27;0;0,00;0,00;0;0,00;0,00
Ago;General;Baja;Industrial;Público;BTCGCD02 (BT / Industrial con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ago;General;Baja;Industrial;Público;BTCGCD30 (BT / Industrial con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;2;11,55;975,55
Ago;Residencial;NO APLICA;Residencial;Público;REFACTRE (Residencial / Refacturaciones y Reliquidaciones);0;36,35;0,00;0;0,00;0,00;0;-0,04;-324,22;0;0,00;0,00;0;0,00;-5,69;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;-0,77;-78,19;0;0,00;0,00;0;0,00;0,00
Ago;General;Baja;Otros;Público;BTCGCD09 (BT / Otros con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ago;General;Baja;Otros;Público;BTCGCD37 (BT / Autoconsumo con Demana Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ago;General;Baja;Otros;Público;BTCGCD38 (BT / Otros con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ago;General;Baja;Otros;Público;BTCGSD08 (BT / Otros);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ago;General;Baja;Otros;Público;BTCGSD12 (BT / Escenarios Deportivos);11;0,47;53,81;19;3,07;286,78;0;0,00;0,00;0;0,00;0,00;1;1,36;96,40;8;2,58;238,90;11;4,52;412,85;1;1,31;119,94;10;10,58;979,29;11;1,76;167,43;6;0,58;55,90
Ago;Residencial;Baja;Residencial;Público;BTCRSD02 (BT / Residencial Temporal);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;12;1,44;202,08;0;0,00;0,00;0;0,00;0,00
Ago;General;Baja;Otros;Público;BTCGSD13 (BT / Bombeo de Agua);17;2,97;257,31;0;0,00;0,00;3;2,64;216,42;1;1,94;167,61;0;0,00;0,00;7;5,75;472,82;13;15,62;1.295,61;33;36,39;2.991,07;5;6,58;536,69;27;40,11;3.313,04;0;0,00;0,00
Ago;General;Baja;Otros;Público;BTCGCD12 (BT / Ocasional);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
