Mes;Categoria;Voltaje;Grupo_consumo;Tipo_consumo;Tarifa;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC
Mzo;General;Baja;Otros;Público;BTCGCD21 (BT / Bombeo de Agua Comunidades Campesinas);0;0,00;0,00;13;25,92;1.045,82;9;11,64;471,90;0;0,00;0,00;10;10,08;410,16;1;2,19;88,46;10;5,46;225,28;8;29,43;1.188,87;0;0,00;0,00;15;16,36;665,06;52;38,87;1.591,16
Mzo;General;Baja;Otros;Público;BTCGCD06 (BT / Bombeo de Agua con Demanda);0;0,00;0,00;0;0,00;0,00;12;19,87;1.694,65;8;63,52;5.590,01;51;122,01;10.747,66;0;0,00;0,00;0;0,00;0,00;4;27,46;2.184,33;0;0,00;0,00;1;3,48;302,14;24;15,48;1.240,71
Mzo;General;Baja;Otros;Público;BTCGCD34 (BT / Bombeo de Agua con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;15;47,99;4.034,21
Mzo;General;Baja;Otros;Público;BTCGSD14 (BT / Bombeo de Agua para Servicio Público de Agua);0;0,00;0,00;16;17,01;1.118,24;0;0,00;0,00;29;24,99;1.649,68;0;0,00;0,00;12;31,71;2.090,83;0;0,00;0,00;0;0,00;0,00;25;46,18;3.039,12;13;8,21;538,69;0;0,00;0,00
Mzo;General;Baja;Otros;Público;BTCGCD40 (BT / Bombeo de Agua para Servicio Público de Agua con Demanda Horaria);0;0,00;0,00;5;5,79;373,41;0;0,00;0,00;14;88,39;5.694,60;1;58,32;3.753,97;0;0,00;0,00;1;4,85;392,79;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;81;885,94;55.127,65
Mzo;General;Baja;Comercial;Público;BTCGSD01 (BT / Comercial);0;0,00;0,00;41;6,31;675,58;231;131,52;13.381,69;59;53,43;5.525,19;12;2,87;293,20;10;4,39;441,66;24;12,84;1.310,03;55;14,38;1.486,92;4;1,69;169,40;71;19,69;2.026,49;3;1,90;193,58
Mzo;General;Baja;Comercial;Público;BTCGCD01 (BT / Comercial con Demanda);0;0,00;0,00;0;0,00;0,00;2;0,49;108,83;5;35,10;3.986,04;7;19,15;2.479,38;1;2,54;304,00;0;0,00;0,00;1;0,00;1,41;0;0,00;0,00;0;0,00;0,00;3;7,84;839,63
Mzo;General;Baja;Comercial;Público;BTCGCD31 (BT / Comercial con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;2;5,10;490,97
Mzo;General;Baja;Otros;Público;BTCGSD09 (BT / Culto Religioso);0;0,00;0,00;0;0,00;0,00;4;0,10;9,01;0;0,00;0,00;0;0,00;0,00;1;0,62;32,56;1;0,02;2,23;0;0,00;0,00;2;0,37;17,98;0;0,00;0,00;7;0,28;19,77
Mzo;General;Baja;Otros;Público;BTCGCD32 (BT / Culto Religioso con Demanda);1;0,72;57,64;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
